Episodio,Passos,Recompensa,Sucesso
1,100,-10.0,0
2,100,-10.0,0
3,100,-10.0,0
4,100,-10.0,0
5,100,-10.0,0
6,100,-10.0,0
7,100,-10.0,0
8,100,-10.0,0
9,100,-10.0,0
10,100,-10.0,0
11,100,-10.0,0
12,100,-10.0,0
13,100,-10.0,0
14,100,-10.0,0
15,100,-10.0,0
16,100,-10.0,0
17,100,-10.0,0
18,100,-10.0,0
19,100,-10.0,0
20,100,-10.0,0
21,100,-10.0,0
22,100,-10.0,0
23,100,-10.0,0
24,100,-10.0,0
25,100,-10.0,0
26,100,-10.0,0
27,100,-10.0,0
28,100,-10.0,0
29,100,-10.0,0
30,100,-10.0,0
31,100,-10.0,0
32,100,-10.0,0
33,100,-10.0,0
34,100,-10.0,0
35,100,-10.0,0
36,100,-10.0,0
37,100,-10.0,0
38,100,-10.0,0
39,100,-10.0,0
40,100,-10.0,0
41,100,-10.0,0
42,100,-10.0,0
43,100,-10.0,0
44,100,-10.0,0
45,100,-10.0,0
46,100,-10.0,0
47,100,-10.0,0
48,100,-10.0,0
49,100,-10.0,0
50,100,-10.0,0
51,100,-10.0,0
52,100,-10.0,0
53,100,-10.0,0
54,100,-10.0,0
55,100,-10.0,0
56,100,-10.0,0
57,100,-10.0,0
58,100,-10.0,0
59,100,-10.0,0
60,100,-10.0,0
61,100,-10.0,0
62,100,-10.0,0
63,100,-10.0,0
64,100,-10.0,0
65,100,-10.0,0
66,100,-10.0,0
67,100,-10.0,0
68,100,-10.0,0
69,100,-10.0,0
70,100,-10.0,0
71,100,-10.0,0
72,100,-10.0,0
73,100,-10.0,0
74,100,-10.0,0
75,100,-10.0,0
76,100,-10.0,0
77,100,-10.0,0
78,100,-10.0,0
79,78,2.3,1
80,10,9.1,1
81,10,9.1,1
82,10,9.1,1
83,10,9.1,1
84,11,9.0,1
85,10,9.1,1
86,12,8.9,1
87,12,8.9,1
88,12,8.9,1
89,17,8.4,1
90,11,9.0,1
91,10,9.1,1
92,10,9.1,1
93,10,9.1,1
94,12,8.9,1
95,10,9.1,1
96,10,9.1,1
97,12,8.9,1
98,10,9.1,1
99,10,9.1,1
100,100,-10.0,0
101,100,-10.0,0
102,100,-10.0,0
103,100,-10.0,0
104,100,-10.0,0
105,100,-10.0,0
106,100,-10.0,0
107,100,-10.0,0
108,100,-10.0,0
109,100,-10.0,0
110,100,-10.0,0
111,100,-10.0,0
112,100,-10.0,0
113,100,-10.0,0
114,100,-10.0,0
115,100,-10.0,0
116,100,-10.0,0
117,100,-10.0,0
118,100,-10.0,0
119,10,9.1,1
120,10,9.1,1
121,10,9.1,1
122,10,9.1,1
123,12,8.9,1
124,10,9.1,1
125,10,9.1,1
126,12,8.9,1
127,12,8.9,1
128,10,9.1,1
129,11,9.0,1
130,12,8.9,1
131,12,8.9,1
132,10,9.1,1
133,12,8.9,1
134,10,9.1,1
135,12,8.9,1
136,13,8.8,1
137,10,9.1,1
138,10,9.1,1
139,10,9.1,1
140,13,8.8,1
141,100,-10.0,0
142,100,-10.0,0
143,100,-10.0,0
144,100,-10.0,0
145,10,9.1,1
146,10,9.1,1
147,100,-10.0,0
148,10,9.1,1
149,100,-10.0,0
150,100,-10.0,0
151,12,8.9,1
152,10,9.1,1
153,10,9.1,1
154,100,-10.0,0
155,100,-10.0,0
156,100,-10.0,0
157,100,-10.0,0
158,100,-10.0,0
159,100,-10.0,0
160,100,-10.0,0
161,100,-10.0,0
162,100,-10.0,0
163,100,-10.0,0
164,100,-10.0,0
165,100,-10.0,0
166,100,-10.0,0
167,100,-10.0,0
168,100,-10.0,0
169,100,-10.0,0
170,100,-10.0,0
171,100,-10.0,0
172,100,-10.0,0
173,100,-10.0,0
174,100,-10.0,0
175,100,-10.0,0
176,100,-10.0,0
177,100,-10.0,0
178,12,8.9,1
179,100,-10.0,0
180,100,-10.0,0
181,100,-10.0,0
182,100,-10.0,0
183,100,-10.0,0
184,100,-10.0,0
185,100,-10.0,0
186,100,-10.0,0
187,100,-10.0,0
188,100,-10.0,0
189,100,-10.0,0
190,100,-10.0,0
191,100,-10.0,0
192,100,-10.0,0
193,100,-10.0,0
194,100,-10.0,0
195,100,-10.0,0
196,100,-10.0,0
197,100,-10.0,0
198,100,-10.0,0
199,100,-10.0,0
200,100,-10.0,0
