Episodio,Passos,Recompensa,Sucesso
1,100,-10.0,0
2,100,-10.0,0
3,100,-10.0,0
4,100,-10.0,0
5,98,0.3,1
6,100,-10.0,0
7,100,-10.0,0
8,100,-10.0,0
9,91,1.0,1
10,100,-10.0,0
11,100,-10.0,0
12,100,-10.0,0
13,100,-10.0,0
14,100,-10.0,0
15,100,-10.0,0
16,100,-10.0,0
17,69,3.2,1
18,100,-10.0,0
19,100,-10.0,0
20,100,-10.0,0
21,100,-10.0,0
22,100,-10.0,0
23,36,6.5,1
24,100,-10.0,0
25,98,0.3,1
26,100,-10.0,0
27,100,-10.0,0
28,69,3.2,1
29,100,-10.0,0
30,100,-10.0,0
31,93,0.8,1
32,100,-10.0,0
33,100,-10.0,0
34,76,2.5,1
35,61,4.0,1
36,100,-10.0,0
37,100,-10.0,0
38,100,-10.0,0
39,100,-10.0,0
40,52,4.9,1
41,100,-10.0,0
42,45,5.6,1
43,100,-10.0,0
44,40,6.1,1
45,100,-10.0,0
46,54,4.7,1
47,100,-10.0,0
48,100,-10.0,0
49,100,-10.0,0
50,51,5.0,1
51,100,-10.0,0
52,87,1.4,1
53,23,7.8,1
54,100,-10.0,0
55,29,7.2,1
56,84,1.7,1
57,100,-10.0,0
58,70,3.1,1
59,58,4.3,1
60,44,5.7,1
61,82,1.9,1
62,59,4.2,1
63,55,4.6,1
64,100,-10.0,0
65,100,-10.0,0
66,53,4.8,1
67,65,3.6,1
68,96,0.5,1
69,57,4.4,1
70,36,6.5,1
71,92,0.9,1
72,100,-10.0,0
73,84,1.7,1
74,79,2.2,1
75,42,5.9,1
76,71,3.0,1
77,72,2.9,1
78,89,1.2,1
79,77,2.4,1
80,52,4.9,1
81,44,5.7,1
82,34,6.7,1
83,46,5.5,1
84,37,6.4,1
85,60,4.1,1
86,54,4.7,1
87,96,0.5,1
88,100,-10.0,0
89,41,6.0,1
90,38,6.3,1
91,44,5.7,1
92,57,4.4,1
93,79,2.2,1
94,36,6.5,1
95,24,7.7,1
96,29,7.2,1
97,75,2.6,1
98,59,4.2,1
99,77,2.4,1
100,58,4.3,1
101,38,6.3,1
102,55,4.6,1
103,51,5.0,1
104,71,3.0,1
105,58,4.3,1
106,60,4.1,1
107,68,3.3,1
108,32,6.9,1
109,34,6.7,1
110,34,6.7,1
111,43,5.8,1
112,22,7.9,1
113,38,6.3,1
114,88,1.3,1
115,26,7.5,1
116,40,6.1,1
117,32,6.9,1
118,56,4.5,1
119,50,5.1,1
120,60,4.1,1
121,69,3.2,1
122,34,6.7,1
123,57,4.4,1
124,51,5.0,1
125,34,6.7,1
126,40,6.1,1
127,42,5.9,1
128,58,4.3,1
129,34,6.7,1
130,38,6.3,1
131,22,7.9,1
132,39,6.2,1
133,49,5.2,1
134,66,3.5,1
