Episodio,Passos,Recompensa,Sucesso
1,100,-30.8,0
2,100,-48.8,0
3,100,-20.8,0
4,100,-34.4,0
5,100,-23.2,0
6,100,-12.0,0
7,100,-43.2,0
8,100,-14.0,0
9,100,-45.2,0
10,100,-12.0,0
11,100,-46.4,0
12,100,-37.2,0
13,100,-12.0,0
14,100,-10.8,0
15,100,-11.6,0
16,100,-41.6,0
17,100,-47.6,0
18,100,-37.2,0
19,100,-39.2,0
20,100,-44.8,0
21,100,-22.0,0
22,100,-10.4,0
23,100,-44.0,0
24,100,-35.6,0
25,100,-10.8,0
26,100,-12.0,0
27,100,-44.8,0
28,16,13.7,1
29,4,18.9,1
30,2,19.9,1
31,2,19.9,1
32,2,19.9,1
33,3,19.4,1
34,2,19.9,1
35,2,19.9,1
36,2,19.9,1
37,2,19.9,1
38,3,19.4,1
39,2,19.9,1
40,2,19.9,1
41,2,19.9,1
42,3,19.4,1
43,2,19.9,1
44,2,19.9,1
45,2,19.9,1
46,2,19.9,1
47,2,19.9,1
48,2,19.9,1
49,2,19.9,1
50,2,19.9,1
51,2,19.9,1
52,2,19.9,1
53,2,19.9,1
54,2,19.9,1
55,2,19.9,1
56,3,19.4,1
57,4,18.9,1
58,3,19.4,1
59,2,19.9,1
60,2,19.9,1
61,2,19.9,1
62,2,19.9,1
63,3,19.4,1
64,2,19.9,1
65,2,19.9,1
66,3,19.4,1
67,2,19.9,1
68,2,19.9,1
69,2,19.9,1
70,2,19.9,1
71,2,19.9,1
72,2,19.9,1
73,2,19.9,1
74,3,19.4,1
75,2,19.9,1
76,2,19.9,1
77,2,19.9,1
78,4,18.9,1
79,3,19.4,1
80,2,19.9,1
81,2,19.9,1
82,2,19.9,1
83,2,19.9,1
84,2,19.9,1
85,2,19.9,1
86,2,19.9,1
87,2,19.9,1
88,2,19.9,1
89,2,19.9,1
90,2,19.9,1
91,2,19.9,1
92,2,19.9,1
93,2,19.9,1
94,2,19.9,1
95,2,19.9,1
96,2,19.9,1
97,2,19.9,1
98,2,19.9,1
99,2,19.9,1
100,2,19.9,1
