Episodio,Passos,Recompensa,Sucesso
1,100,-20.0,0
2,100,-16.0,0
3,100,-14.0,0
4,100,-15.6,0
5,100,-15.6,0
6,100,-17.6,0
7,100,-14.0,0
8,100,-11.2,0
9,100,-10.0,0
10,38,13.1,1
11,100,-12.4,0
12,100,-10.8,0
13,100,-12.4,0
14,100,-13.6,0
15,100,-12.4,0
16,100,-14.0,0
17,100,-14.0,0
18,100,-14.8,0
19,100,7.7,1
20,100,-12.4,0
21,100,-12.0,0
22,100,-16.4,0
23,100,-15.6,0
24,100,-12.4,0
25,100,-11.6,0
26,100,-11.2,0
27,55,13.4,1
28,100,-14.0,0
29,54,13.9,1
30,100,-12.4,0
31,100,-14.0,0
32,100,-12.4,0
33,100,-13.6,0
34,30,16.3,1
35,100,-12.8,0
36,98,6.3,1
37,100,-12.0,0
38,100,-18.4,0
39,100,-10.8,0
40,100,-12.4,0
41,100,-12.4,0
42,100,-11.6,0
43,100,-14.8,0
44,100,-12.0,0
45,50,15.1,1
46,100,-11.6,0
47,100,-14.8,0
48,92,9.3,1
49,100,-14.0,0
50,84,9.3,1
51,100,-11.6,0
52,100,-11.6,0
53,100,-11.2,0
54,100,-12.8,0
55,29,16.8,1
56,60,13.3,1
57,49,14.0,1
58,100,-12.4,0
59,100,-13.6,0
60,57,14.0,1
61,81,8.4,1
62,75,11.4,1
63,100,-14.0,0
64,100,-14.0,0
65,48,14.5,1
66,91,9.0,1
67,58,13.5,1
68,77,12.0,1
69,100,-11.2,0
70,82,8.7,1
71,83,7.4,1
72,61,13.6,1
73,95,10.2,1
74,100,-13.2,0
75,45,15.2,1
76,32,16.1,1
77,61,13.6,1
78,29,16.8,1
79,100,-12.4,0
80,100,-15.6,0
81,53,12.8,1
82,83,9.8,1
83,89,9.2,1
84,42,15.1,1
85,50,14.3,1
86,35,16.2,1
87,100,6.9,1
88,77,12.0,1
89,60,12.5,1
90,94,9.1,1
91,45,13.6,1
92,51,14.6,1
93,50,14.3,1
94,87,10.2,1
95,37,15.2,1
96,57,10.8,1
97,45,14.4,1
98,91,9.0,1
99,31,15.8,1
100,35,16.2,1
101,35,16.2,1
102,31,15.8,1
103,58,13.5,1
104,36,15.7,1
105,30,16.3,1
106,36,15.7,1
107,87,10.2,1
108,27,17.0,1
109,39,15.8,1
110,65,13.2,1
111,35,16.2,1
112,78,10.7,1
113,28,17.3,1
114,18,18.3,1
115,22,17.9,1
116,21,17.6,1
117,89,10.8,1
118,25,17.2,1
119,31,16.6,1
120,100,-16.4,0
121,27,16.2,1
122,22,17.9,1
123,26,17.5,1
124,42,15.9,1
125,32,16.9,1
126,28,16.5,1
127,26,15.9,1
128,24,17.7,1
129,54,13.1,1
130,26,17.5,1
131,21,17.6,1
132,40,15.3,1
133,26,16.7,1
134,38,16.3,1
135,23,17.4,1
136,36,15.7,1
137,29,16.8,1
138,37,16.0,1
139,24,17.7,1
140,26,16.7,1
141,20,18.1,1
142,18,18.3,1
143,96,7.3,1
144,23,17.4,1
145,27,17.0,1
146,20,18.1,1
147,23,17.4,1
148,27,16.2,1
149,24,17.7,1
150,24,17.7,1
151,20,18.1,1
152,25,17.2,1
153,22,17.9,1
154,26,17.5,1
155,19,17.8,1
156,32,16.9,1
157,22,17.9,1
158,47,15.0,1
159,22,17.9,1
160,21,17.6,1
161,24,16.9,1
162,22,17.9,1
163,19,17.8,1
164,18,18.3,1
165,21,17.6,1
166,22,17.9,1
167,23,17.4,1
168,23,17.4,1
169,21,17.6,1
170,23,16.6,1
171,28,16.5,1
172,18,18.3,1
173,18,18.3,1
174,21,17.6,1
175,18,18.3,1
176,23,17.4,1
177,19,17.8,1
178,19,17.8,1
179,22,17.9,1
180,21,17.6,1
181,20,18.1,1
182,22,17.1,1
183,23,17.4,1
184,20,17.3,1
185,18,18.3,1
186,20,18.1,1
187,18,18.3,1
188,18,18.3,1
189,19,17.8,1
190,21,17.6,1
191,20,18.1,1
192,24,16.9,1
193,20,18.1,1
194,22,17.1,1
195,18,18.3,1
196,21,17.6,1
197,18,18.3,1
198,22,17.1,1
199,24,17.7,1
200,21,17.6,1
201,18,18.3,1
202,18,18.3,1
203,18,18.3,1
204,18,18.3,1
205,20,18.1,1
206,20,18.1,1
207,23,17.4,1
208,18,18.3,1
209,18,18.3,1
210,21,17.6,1
211,20,18.1,1
212,18,18.3,1
213,18,18.3,1
214,21,17.6,1
215,18,18.3,1
216,20,17.3,1
217,20,18.1,1
218,20,18.1,1
