Episodio,Passos,Recompensa,Sucesso
1,100,-39.1,0
2,100,-12.1,1
3,100,-32.4,0
4,100,-27.5,0
5,100,24.4,1
6,100,-37.0,0
7,100,-28.9,0
8,100,-35.6,0
9,100,25.1,1
10,100,-27.5,0
11,100,-28.2,0
12,100,-1.2,1
13,100,0.2,1
14,100,-26.1,0
15,100,48.6,1
16,100,-27.5,0
17,100,23.0,1
18,100,17.7,1
19,100,-25.4,0
20,100,24.4,1
21,100,-31.7,0
22,100,25.1,1
23,100,-26.1,0
24,100,19.8,1
25,100,24.4,1
26,100,-3.3,1
27,100,-4.7,1
28,100,-0.5,1
29,100,71.0,1
30,100,50.7,1
31,100,25.8,1
32,100,-0.5,1
33,100,23.0,1
34,100,24.4,1
35,100,19.1,1
36,100,44.7,1
37,100,-1.2,1
38,100,-0.5,1
39,100,94.5,1
40,100,-24.7,0
41,100,49.3,1
42,100,49.3,1
43,100,101.9,1
44,100,20.5,1
45,100,-1.9,1
46,100,46.8,1
47,100,-30.3,0
48,100,25.8,1
49,100,50.0,1
50,100,45.4,1
51,100,44.7,1
52,100,-26.1,0
53,100,97.3,1
54,100,-0.5,1
55,100,23.7,1
56,100,20.5,1
57,100,71.0,1
58,100,74.9,1
59,100,45.4,1
60,100,-26.8,0
61,100,24.4,1
62,100,23.0,1
63,100,49.3,1
64,100,0.2,1
65,100,0.2,1
66,100,95.9,1
67,100,45.4,1
68,100,128.2,1
69,100,72.4,1
70,100,50.7,1
71,100,23.7,1
72,100,-0.5,1
73,100,25.8,1
74,100,25.8,1
75,100,50.7,1
76,100,149.2,1
77,100,71.0,1
78,100,-4.4,1
79,100,26.5,1
80,100,72.1,1
81,100,148.5,1
82,100,25.8,1
83,100,52.1,1
84,100,72.4,1
85,100,98.0,1
86,100,75.6,1
87,100,26.5,1
88,100,17.0,1
89,100,102.6,1
90,100,-3.3,1
91,100,51.4,1
92,100,-2.6,1
93,100,46.8,1
94,100,98.0,1
95,100,122.2,1
96,100,97.3,1
97,100,45.4,1
98,100,0.2,1
99,100,50.7,1
100,100,95.9,1
101,100,122.2,1
102,100,122.9,1
103,100,102.6,1
104,100,97.3,1
105,100,148.5,1
106,100,-6.5,1
107,100,51.4,1
108,100,24.4,1
109,100,51.4,1
110,100,77.0,1
111,100,122.2,1
112,100,51.4,1
113,100,103.3,1
114,100,51.4,1
115,100,96.6,1
116,100,122.2,1
117,100,20.5,1
118,100,72.4,1
119,100,120.1,1
120,100,101.2,1
121,100,97.3,1
122,100,96.6,1
123,100,121.5,1
124,100,51.4,1
125,100,26.5,1
126,100,45.4,1
127,100,71.7,1
128,100,50.7,1
129,100,103.3,1
130,100,174.8,1
131,100,96.6,1
132,100,70.3,1
133,100,101.2,1
134,100,173.4,1
135,100,205.7,1
136,100,72.4,1
137,100,72.4,1
138,100,128.9,1
139,100,121.5,1
140,100,72.4,1
141,100,22.3,1
142,100,101.9,1
143,100,126.8,1
144,100,101.9,1
145,100,147.8,1
146,100,72.4,1
147,100,149.2,1
148,100,103.3,1
149,100,71.7,1
150,100,178.7,1
151,100,174.8,1
152,100,97.3,1
153,100,77.0,1
154,100,46.8,1
155,100,128.9,1
156,100,147.8,1
157,100,148.5,1
158,100,71.0,1
159,100,71.7,1
160,100,19.8,1
161,100,96.6,1
162,100,123.6,1
163,100,44.7,1
164,100,70.3,1
165,100,-32.1,0
166,100,51.4,1
167,100,120.8,1
168,100,71.7,1
169,100,120.8,1
170,100,98.0,1
171,100,148.5,1
172,100,153.8,1
173,100,76.3,1
174,100,72.4,1
175,100,77.0,1
176,100,97.3,1
177,100,128.9,1
178,100,72.4,1
179,100,20.5,1
180,100,122.2,1
181,100,128.2,1
182,100,-0.5,1
183,100,103.3,1
184,100,128.9,1
185,100,98.0,1
186,100,178.0,1
187,100,103.3,1
188,100,147.8,1
189,100,77.0,1
190,100,71.0,1
191,100,45.4,1
192,100,50.0,1
193,100,46.8,1
194,100,101.9,1
195,100,71.0,1
196,100,153.1,1
197,100,128.2,1
198,100,149.2,1
199,100,174.1,1
200,100,46.1,1
201,100,154.5,1
202,100,121.5,1
203,100,148.5,1
204,100,147.8,1
205,100,52.1,1
206,100,25.8,1
207,100,77.0,1
208,100,153.1,1
209,100,178.0,1
210,100,97.3,1
211,100,123.6,1
212,100,128.2,1
213,100,178.7,1
214,100,21.2,1
215,100,96.6,1
216,100,148.5,1
217,100,76.3,1
218,100,50.7,1
219,100,72.4,1
220,100,77.0,1
221,100,179.4,1
222,100,123.6,1
223,100,46.8,1
224,100,20.5,1
225,100,97.3,1
226,100,97.3,1
227,100,77.0,1
228,100,148.5,1
229,100,154.5,1
230,100,128.9,1
231,100,76.3,1
232,100,102.6,1
233,100,147.1,1
234,100,123.6,1
235,100,102.6,1
236,100,71.0,1
237,100,102.6,1
238,100,97.3,1
239,100,77.0,1
240,100,128.9,1
241,100,147.8,1
242,100,46.1,1
243,100,98.0,1
244,100,51.4,1
245,100,128.2,1
246,100,120.8,1
247,100,52.1,1
248,100,147.8,1
249,100,46.1,1
250,100,0.9,1
251,100,71.7,1
252,100,52.1,1
253,100,153.1,1
254,100,98.0,1
255,100,148.5,1
256,100,128.2,1
257,100,96.6,1
258,100,147.8,1
259,100,122.9,1
260,100,148.5,1
261,100,98.0,1
262,100,123.6,1
263,100,101.9,1
264,100,77.7,1
265,100,98.0,1
266,100,71.7,1
267,100,122.9,1
268,100,21.2,1
269,100,101.9,1
270,100,122.2,1
271,100,-5.1,1
272,100,19.1,1
273,100,174.1,1
274,100,149.2,1
275,100,-33.5,0
276,100,44.0,1
277,100,102.6,1
278,100,100.5,1
279,100,174.1,1
280,100,-33.5,0
281,100,45.4,1
282,100,153.8,1
283,100,98.0,1
284,100,123.6,1
285,100,-4.4,1
286,100,102.6,1
287,100,74.9,1
288,100,19.8,1
289,100,19.1,1
290,100,128.9,1
291,100,128.9,1
292,100,45.4,1
293,100,98.0,1
294,100,98.0,1
295,100,100.5,1
296,100,-7.2,1
