Episodio,Passos,Recompensa,Sucesso
1,100,-10.0,0
2,100,-10.0,0
3,100,-10.0,0
4,100,-10.0,0
5,100,-10.0,0
6,100,-10.0,0
7,100,-10.0,0
8,100,-10.0,0
9,87,1.4,1
10,100,-10.0,0
11,100,-10.0,0
12,35,6.6,1
13,100,-10.0,0
14,100,-10.0,0
15,100,-10.0,0
16,83,1.8,1
17,100,-10.0,0
18,100,-10.0,0
19,100,-10.0,0
20,100,-10.0,0
21,100,-10.0,0
22,100,-10.0,0
23,57,4.4,1
24,100,-10.0,0
25,100,-10.0,0
26,72,2.9,1
27,100,-10.0,0
28,100,-10.0,0
29,96,0.5,1
30,100,-10.0,0
31,100,-10.0,0
32,100,-10.0,0
33,96,0.5,1
34,77,2.4,1
35,61,4.0,1
36,100,-10.0,0
37,29,7.2,1
38,82,1.9,1
39,72,2.9,1
40,62,3.9,1
41,100,-10.0,0
42,100,-10.0,0
43,63,3.8,1
44,100,-10.0,0
45,90,1.1,1
46,100,-10.0,0
47,88,1.3,1
48,100,-10.0,0
49,100,-10.0,0
50,44,5.7,1
51,100,-10.0,0
52,100,0.1,1
53,30,7.1,1
54,100,-10.0,0
55,64,3.7,1
56,46,5.5,1
57,100,-10.0,0
58,36,6.5,1
59,77,2.4,1
60,40,6.1,1
61,91,1.0,1
62,100,-10.0,0
63,97,0.4,1
64,40,6.1,1
65,45,5.6,1
66,53,4.8,1
67,62,3.9,1
68,60,4.1,1
69,74,2.7,1
70,60,4.1,1
71,48,5.3,1
72,100,-10.0,0
73,79,2.2,1
74,40,6.1,1
75,34,6.7,1
76,100,-10.0,0
77,43,5.8,1
78,53,4.8,1
79,29,7.2,1
80,100,-10.0,0
81,79,2.2,1
82,48,5.3,1
83,59,4.2,1
84,47,5.4,1
85,38,6.3,1
86,52,4.9,1
87,28,7.3,1
88,100,-10.0,0
89,64,3.7,1
90,72,2.9,1
91,73,2.8,1
92,40,6.1,1
93,48,5.3,1
94,50,5.1,1
95,35,6.6,1
96,85,1.6,1
97,21,8.0,1
98,26,7.5,1
99,100,-10.0,0
100,61,4.0,1
101,70,3.1,1
102,66,3.5,1
103,32,6.9,1
104,36,6.5,1
105,26,7.5,1
106,21,8.0,1
107,33,6.8,1
108,44,5.7,1
109,33,6.8,1
110,85,1.6,1
111,69,3.2,1
112,90,1.1,1
113,30,7.1,1
114,28,7.3,1
115,31,7.0,1
116,49,5.2,1
117,38,6.3,1
118,37,6.4,1
119,27,7.4,1
120,45,5.6,1
121,59,4.2,1
122,56,4.5,1
123,37,6.4,1
124,36,6.5,1
125,30,7.1,1
126,37,6.4,1
127,55,4.6,1
128,43,5.8,1
129,29,7.2,1
130,27,7.4,1
131,22,7.9,1
132,34,6.7,1
133,53,4.8,1
134,21,8.0,1
