Episodio,Passos,Recompensa,Sucesso
1,100,-26.8,0
2,100,-12.4,0
3,100,-10.8,0
4,100,-10.8,0
5,100,-10.0,0
6,100,-12.0,0
7,100,-10.8,0
8,100,-12.0,0
9,100,-12.4,0
10,100,-14.4,0
11,100,-10.4,0
12,100,-10.8,0
13,100,-10.0,0
14,100,-10.8,0
15,100,-23.6,0
16,100,-14.0,0
17,100,-11.6,0
18,100,-10.4,0
19,100,-10.0,0
20,100,-11.6,0
21,100,-12.8,0
22,100,-10.8,0
23,100,-10.4,0
24,100,-11.6,0
25,100,-11.2,0
26,100,-12.4,0
27,100,-31.6,0
28,100,-11.2,0
29,100,-10.8,0
30,100,-11.2,0
31,100,-11.2,0
32,100,-10.4,0
33,100,-11.2,0
34,100,-11.6,0
35,100,-12.0,0
36,100,-10.4,0
37,100,-11.2,0
38,100,-18.4,0
39,100,-10.8,0
40,100,-11.6,0
41,100,-10.8,0
42,100,-19.2,0
43,100,-12.0,0
44,100,-10.8,0
45,100,-12.0,0
46,100,-10.4,0
47,100,-22.8,0
48,100,-11.6,0
49,100,-10.8,0
50,100,-10.0,0
51,100,-10.4,0
52,100,-10.4,0
53,100,-10.4,0
54,100,-10.8,0
55,100,-11.2,0
56,100,-10.4,0
57,100,-10.4,0
58,100,-12.0,0
59,100,-11.2,0
60,100,-10.8,0
61,100,-10.4,0
62,100,-10.4,0
63,100,-10.8,0
64,100,-11.6,0
65,100,-10.8,0
66,100,-18.4,0
67,100,-10.0,0
68,100,-12.0,0
69,100,-11.6,0
70,100,-11.6,0
71,100,-10.8,0
72,100,-11.6,0
73,100,-10.0,0
74,100,-10.0,0
75,100,-10.0,0
76,100,-11.2,0
77,100,-10.0,0
78,100,-10.0,0
79,100,-12.0,0
80,100,-12.0,0
81,100,-10.4,0
82,100,-10.4,0
83,100,-35.6,0
84,100,-10.4,0
85,100,-11.6,0
86,100,-10.4,0
87,100,-10.4,0
88,100,-11.2,0
89,100,-10.0,0
90,100,-10.0,0
91,100,-12.8,0
