Episodio,Passos,Recompensa,Sucesso
1,100,-33.1,0
2,100,-28.9,0
3,100,-26.1,0
4,100,-36.3,0
5,100,-1.9,1
6,100,-1.9,1
7,100,-26.1,0
8,100,-0.5,1
9,100,-7.2,1
10,100,20.9,1
11,100,-9.3,1
12,100,-26.1,0
13,100,-32.4,0
14,100,-3.3,1
15,100,-31.0,0
16,100,44.7,1
17,100,41.9,1
18,100,-1.2,1
19,100,-27.5,0
20,100,45.4,1
21,100,-25.4,0
22,100,-28.9,0
23,100,-0.5,1
24,100,-26.1,0
25,100,-28.9,0
26,100,-27.5,0
27,100,-26.8,0
28,100,17.7,1
29,100,50.0,1
30,100,-26.8,0
31,100,-32.8,0
32,100,18.4,1
33,100,26.5,1
34,100,45.4,1
35,100,-29.6,0
36,100,-34.9,0
37,100,-5.8,1
38,100,-28.9,0
39,100,-0.5,1
40,100,21.2,1
41,100,-25.4,0
42,100,44.0,1
43,100,24.4,1
44,100,-0.5,1
45,100,-0.5,1
46,100,24.4,1
47,100,0.2,1
48,100,-5.8,1
49,100,18.4,1
50,100,-6.5,1
51,100,-28.2,0
52,100,18.4,1
53,100,25.8,1
54,100,46.1,1
55,100,-27.5,0
56,100,-25.4,0
57,100,21.2,1
58,100,44.7,1
59,100,25.1,1
60,100,-24.7,0
61,100,26.5,1
62,100,44.7,1
63,100,45.4,1
64,100,71.0,1
65,100,-28.2,0
66,100,-5.1,1
67,100,98.4,1
68,100,101.9,1
69,100,25.8,1
70,100,-26.1,0
71,100,24.4,1
72,100,25.1,1
73,100,26.5,1
74,100,25.1,1
75,100,77.7,1
76,100,25.1,1
77,100,26.5,1
78,100,26.5,1
79,100,-1.9,1
80,100,21.2,1
81,100,95.9,1
82,100,95.2,1
83,100,77.0,1
84,100,-26.1,0
85,100,49.3,1
86,100,-28.9,0
87,100,-4.4,1
88,100,46.1,1
89,100,18.4,1
90,100,77.0,1
91,100,19.8,1
92,100,46.1,1
93,100,148.5,1
94,100,44.7,1
95,100,26.5,1
96,100,46.1,1
97,100,19.8,1
98,100,50.0,1
99,100,50.0,1
100,100,23.7,1
101,100,50.0,1
102,100,103.3,1
103,100,75.6,1
104,100,25.1,1
105,100,120.8,1
106,100,122.9,1
107,100,51.4,1
108,100,96.6,1
109,100,75.6,1
110,100,46.8,1
111,100,74.9,1
112,100,71.7,1
113,100,70.3,1
114,100,148.5,1
115,100,19.1,1
116,100,77.7,1
117,100,-7.2,1
118,100,20.5,1
119,100,147.8,1
120,100,98.0,1
121,100,46.8,1
122,100,123.6,1
123,100,77.7,1
124,100,-9.3,1
125,100,46.1,1
126,100,128.2,1
127,100,24.4,1
128,100,25.8,1
129,100,153.1,1
130,100,50.0,1
131,100,46.1,1
132,100,46.1,1
133,100,123.6,1
134,100,70.3,1
135,100,97.3,1
136,100,95.2,1
137,100,71.7,1
138,100,76.3,1
139,100,25.8,1
140,100,71.7,1
141,100,46.8,1
142,100,44.7,1
143,100,98.0,1
144,100,51.4,1
145,100,98.0,1
146,100,96.6,1
147,100,25.1,1
148,100,102.6,1
149,100,94.5,1
150,100,72.4,1
151,100,174.1,1
152,100,46.8,1
153,100,71.7,1
154,100,71.0,1
155,100,-25.4,0
156,100,72.4,1
157,100,71.0,1
158,100,100.5,1
159,100,-1.9,1
160,100,121.5,1
161,100,122.9,1
162,100,102.6,1
163,100,72.4,1
164,100,71.7,1
165,100,77.7,1
166,100,77.7,1
167,100,75.6,1
168,100,122.9,1
169,100,45.4,1
170,100,122.9,1
171,100,96.6,1
172,100,102.6,1
173,100,200.4,1
174,100,97.3,1
175,100,128.9,1
176,100,77.7,1
177,100,77.7,1
178,100,25.1,1
179,100,71.0,1
180,100,153.1,1
181,100,123.6,1
182,100,149.2,1
183,100,43.3,1
184,100,103.3,1
185,100,128.9,1
186,100,128.9,1
187,100,122.2,1
188,100,77.0,1
189,100,51.4,1
190,100,149.2,1
191,100,128.9,1
192,100,21.2,1
193,100,172.7,1
194,100,200.4,1
195,100,147.8,1
196,100,123.6,1
197,100,77.0,1
198,100,153.1,1
199,100,172.7,1
200,100,128.2,1
201,100,122.9,1
202,100,148.5,1
203,100,46.1,1
204,100,171.3,1
205,100,102.6,1
206,100,153.1,1
207,100,203.6,1
208,100,147.8,1
209,100,126.1,1
210,100,121.5,1
211,100,128.2,1
212,100,147.8,1
213,100,147.8,1
214,100,122.9,1
215,100,148.5,1
216,100,154.5,1
217,100,149.2,1
218,100,174.1,1
219,100,123.6,1
220,100,52.1,1
221,100,153.8,1
222,100,102.6,1
223,100,147.8,1
224,100,98.0,1
225,100,122.2,1
226,100,149.2,1
227,100,93.1,1
228,100,122.9,1
229,100,103.3,1
230,100,102.6,1
231,100,122.9,1
232,100,127.5,1
233,100,98.0,1
234,100,174.8,1
235,100,154.5,1
236,100,-30.0,0
237,100,128.2,1
238,100,128.9,1
239,100,199.7,1
240,100,153.8,1
241,100,122.9,1
242,100,122.9,1
243,100,96.6,1
244,100,102.6,1
245,100,153.8,1
246,100,97.3,1
247,100,98.0,1
248,100,123.6,1
249,100,149.2,1
250,100,102.6,1
251,100,128.9,1
252,100,122.9,1
253,100,103.3,1
254,100,122.9,1
255,100,147.8,1
256,100,149.2,1
257,100,128.2,1
258,100,123.6,1
259,100,154.5,1
260,100,102.6,1
261,100,122.9,1
262,100,122.9,1
263,100,123.6,1
264,100,122.2,1
265,100,98.0,1
266,100,128.2,1
267,100,122.2,1
268,100,97.3,1
269,100,149.2,1
270,100,98.0,1
271,100,123.6,1
272,100,123.6,1
273,100,123.6,1
274,100,148.5,1
275,100,69.6,1
276,100,128.2,1
277,100,103.3,1
278,100,45.4,1
279,100,149.2,1
280,100,174.1,1
281,100,97.3,1
282,100,95.9,1
283,100,102.6,1
284,100,122.9,1
285,100,101.9,1
286,100,97.3,1
287,100,128.9,1
288,100,205.7,1
289,100,102.6,1
290,100,122.9,1
291,100,102.6,1
292,100,154.5,1
293,100,174.8,1
294,100,179.4,1
295,100,179.4,1
296,100,148.5,1
297,100,102.6,1
298,100,77.0,1
299,100,102.6,1
300,100,200.4,1
301,100,149.2,1
302,100,96.6,1
303,100,71.7,1
304,100,148.5,1
305,100,128.9,1
306,100,128.2,1
307,100,122.9,1
308,100,123.6,1
309,100,173.4,1
310,100,98.0,1
311,100,178.7,1
312,100,103.3,1
313,100,128.9,1
314,100,103.3,1
315,100,174.8,1
316,100,123.6,1
317,100,147.8,1
318,100,74.9,1
319,100,128.2,1
320,100,148.5,1
321,100,179.4,1
322,100,71.7,1
323,100,153.8,1
324,100,149.2,1
325,100,72.4,1
326,100,174.8,1
327,100,149.2,1
328,100,101.9,1
329,100,128.2,1
330,100,128.2,1
331,100,127.5,1
332,100,128.2,1
333,100,122.9,1
334,100,102.6,1
335,100,52.1,1
336,100,98.0,1
337,100,46.1,1
338,100,128.2,1
339,100,123.6,1
340,100,101.9,1
341,100,50.0,1
342,100,52.1,1
343,100,98.0,1
344,100,98.0,1
345,100,122.9,1
346,100,147.8,1
347,100,147.8,1
348,100,72.4,1
349,100,98.0,1
350,100,123.6,1
351,100,149.2,1
352,100,149.2,1
353,100,122.2,1
354,100,148.5,1
355,100,148.5,1
356,100,174.8,1
357,100,123.6,1
358,100,128.9,1
359,100,122.9,1
360,100,103.3,1
361,100,199.7,1
362,100,149.2,1
363,100,154.5,1
364,100,98.0,1
365,100,45.4,1
366,100,153.8,1
367,100,102.6,1
368,100,103.3,1
369,100,102.6,1
370,100,174.1,1
371,100,123.6,1
372,100,103.3,1
373,100,149.2,1
374,100,128.2,1
375,100,103.3,1
376,100,122.9,1
377,100,102.6,1
378,100,145.7,1
379,100,149.2,1
380,100,128.9,1
381,100,102.6,1
382,100,147.1,1
383,100,173.4,1
384,100,250.2,1
385,100,122.9,1
386,100,122.2,1
387,100,128.9,1
388,100,103.3,1
389,100,71.0,1
390,100,180.1,1
391,100,77.7,1
392,100,98.0,1
393,100,123.6,1
394,100,149.2,1
395,100,101.9,1
396,100,102.6,1
397,100,77.7,1
398,100,98.0,1
399,100,123.6,1
400,100,199.7,1
401,100,103.3,1
402,100,103.3,1
403,100,101.9,1
404,100,174.8,1
405,100,77.0,1
406,100,123.6,1
407,100,128.2,1
408,100,77.0,1
409,100,149.2,1
410,100,103.3,1
411,100,122.9,1
412,100,154.5,1
413,100,128.2,1
414,100,153.8,1
415,100,46.8,1
416,100,174.1,1
417,100,103.3,1
418,100,123.6,1
419,100,77.0,1
420,100,147.8,1
421,100,147.8,1
422,100,154.5,1
423,100,97.3,1
424,100,77.0,1
425,100,123.6,1
426,100,173.4,1
427,100,123.6,1
428,100,102.6,1
429,100,128.2,1
430,100,153.8,1
431,100,96.6,1
432,100,154.5,1
433,100,122.9,1
434,100,128.9,1
435,100,98.0,1
436,100,128.9,1
437,100,148.5,1
438,100,25.8,1
439,100,122.9,1
440,100,127.5,1
441,100,120.8,1
442,100,153.8,1
443,100,122.9,1
444,100,102.6,1
445,100,128.9,1
446,100,122.9,1
447,100,102.6,1
448,100,174.1,1
449,100,122.9,1
450,100,77.7,1
451,100,149.2,1
452,100,148.5,1
453,100,172.7,1
454,100,51.4,1
455,100,76.3,1
456,100,102.6,1
457,100,122.9,1
458,100,148.5,1
459,100,154.5,1
460,100,123.6,1
461,100,147.8,1
462,100,51.4,1
463,100,123.6,1
464,100,101.9,1
465,100,103.3,1
466,100,152.4,1
467,100,77.7,1
468,100,122.2,1
469,100,122.9,1
470,100,177.3,1
471,100,128.2,1
472,100,98.0,1
473,100,151.7,1
474,100,122.9,1
475,100,146.4,1
476,100,180.1,1
477,100,199.0,1
478,100,149.2,1
479,100,126.8,1
480,100,-30.0,0
481,100,153.8,1
482,100,147.8,1
483,100,199.7,1
484,100,101.9,1
485,100,123.6,1
486,100,128.9,1
487,100,147.1,1
488,100,123.6,1
489,100,174.8,1
490,100,225.3,1
491,100,102.6,1
492,100,122.9,1
493,100,52.1,1
494,100,103.3,1
495,100,172.7,1
496,100,153.1,1
497,100,102.6,1
498,100,127.5,1
499,100,122.9,1
500,100,122.2,1
501,100,151.7,1
502,100,153.8,1
503,100,101.9,1
504,100,172.0,1
505,100,97.3,1
506,100,127.5,1
507,100,97.3,1
508,100,174.8,1
509,100,103.3,1
510,100,123.6,1
511,100,153.8,1
512,100,101.9,1
513,100,153.1,1
514,100,102.6,1
515,100,127.5,1
516,100,122.9,1
517,100,149.2,1
518,100,153.8,1
519,100,122.2,1
520,100,101.9,1
521,100,147.8,1
522,100,147.8,1
523,100,127.5,1
524,100,174.1,1
525,100,77.7,1
526,100,200.4,1
527,100,128.2,1
528,100,149.2,1
529,100,173.4,1
530,100,97.3,1
531,100,205.0,1
532,100,46.8,1
533,100,199.7,1
534,100,46.8,1
535,100,148.5,1
536,100,147.1,1
537,100,178.7,1
538,100,128.9,1
539,100,154.5,1
540,100,147.8,1
541,100,147.1,1
542,100,147.8,1
543,100,122.2,1
544,100,127.5,1
545,100,77.0,1
546,100,153.8,1
547,100,102.6,1
548,100,172.7,1
549,100,128.9,1
550,100,123.6,1
551,100,126.1,1
552,100,98.0,1
553,100,154.5,1
554,100,128.2,1
555,100,127.5,1
556,100,148.5,1
557,100,77.7,1
558,100,174.1,1
559,100,154.5,1
560,100,128.2,1
561,100,103.3,1
562,100,71.7,1
563,100,149.2,1
564,100,122.9,1
565,100,126.8,1
566,100,96.6,1
567,100,178.7,1
568,100,171.3,1
569,100,148.5,1
570,100,123.6,1
571,100,149.2,1
572,100,122.9,1
573,100,173.4,1
574,100,154.5,1
575,100,173.4,1
576,100,147.1,1
577,100,174.8,1
578,100,96.6,1
579,100,98.0,1
580,100,154.5,1
581,100,123.6,1
582,100,128.9,1
583,100,102.6,1
584,100,148.5,1
585,100,102.6,1
586,100,153.8,1
587,100,128.2,1
588,100,96.6,1
589,100,122.9,1
590,100,96.6,1
591,100,205.7,1
592,100,152.4,1
593,100,52.1,1
594,100,122.2,1
595,100,123.6,1
596,100,128.2,1
597,100,122.9,1
598,100,123.6,1
599,100,173.4,1
600,100,122.9,1
601,100,148.5,1
602,100,153.8,1
603,100,128.2,1
604,100,123.6,1
605,100,96.6,1
606,100,153.1,1
607,100,154.5,1
608,100,103.3,1
609,100,154.5,1
610,100,77.0,1
611,100,102.6,1
612,100,102.6,1
613,100,154.5,1
614,100,122.9,1
615,100,128.9,1
616,100,123.6,1
617,100,153.8,1
618,100,153.1,1
619,100,147.1,1
620,100,127.5,1
621,100,77.7,1
622,100,153.8,1
623,100,98.0,1
624,100,98.0,1
625,100,128.9,1
626,100,199.7,1
627,100,98.0,1
628,100,96.6,1
629,100,148.5,1
630,100,103.3,1
631,100,152.4,1
632,100,103.3,1
633,100,178.7,1
634,100,148.5,1
635,100,77.0,1
636,100,-30.0,0
637,100,77.0,1
638,100,122.2,1
639,100,146.4,1
640,100,147.1,1
641,100,153.1,1
642,100,128.9,1
643,100,198.3,1
644,100,122.2,1
645,100,122.9,1
646,100,149.2,1
647,100,77.7,1
648,100,103.3,1
649,100,148.5,1
650,100,121.5,1
651,100,98.0,1
652,100,128.2,1
653,100,152.4,1
654,100,123.6,1
655,100,122.2,1
656,100,123.6,1
657,100,123.6,1
658,100,128.9,1
659,100,126.8,1
660,100,97.3,1
661,100,97.3,1
662,100,123.6,1
663,100,153.8,1
664,100,103.3,1
665,100,126.8,1
666,100,102.6,1
667,100,128.2,1
668,100,20.5,1
669,100,149.2,1
670,100,128.2,1
671,100,128.9,1
672,100,52.1,1
673,100,174.1,1
674,100,127.5,1
675,100,122.9,1
676,100,98.0,1
677,100,103.3,1
678,100,122.9,1
679,100,128.9,1
680,100,121.5,1
681,100,127.5,1
682,100,147.8,1
683,100,123.6,1
684,100,97.3,1
685,100,-30.0,0
686,100,101.2,1
687,100,102.6,1
688,100,71.0,1
689,100,123.6,1
690,100,149.2,1
691,100,51.4,1
692,100,147.8,1
693,100,128.9,1
694,100,170.6,1
695,100,122.9,1
696,100,98.0,1
697,100,128.2,1
698,100,147.8,1
699,100,103.3,1
700,100,123.6,1
701,100,122.9,1
702,100,153.8,1
703,100,149.2,1
704,100,128.9,1
705,100,127.5,1
706,100,122.9,1
707,100,51.4,1
708,100,103.3,1
709,100,128.2,1
710,100,128.9,1
711,100,128.9,1
712,100,180.1,1
713,100,72.4,1
714,100,102.6,1
715,100,97.3,1
716,100,128.2,1
