Episodio,Passos,Recompensa,Sucesso
1,100,-4.9,0
2,100,-4.9,0
3,100,15.2,1
4,100,-4.9,0
5,100,-10.0,0
6,100,-4.9,0
7,100,-4.9,0
8,100,15.2,1
9,100,20.3,1
10,100,90.8,1
11,100,20.3,1
12,100,15.2,1
13,100,-10.0,0
14,100,45.5,1
15,100,40.4,1
16,100,-4.9,0
17,100,-4.9,0
18,100,70.7,1
19,100,15.2,1
20,100,45.5,1
21,100,-4.9,0
22,100,65.6,1
23,100,20.3,1
24,100,15.2,1
25,100,15.2,1
26,100,-4.9,0
27,100,70.7,1
28,100,95.9,1
29,100,-10.0,0
30,100,-4.9,0
31,100,65.6,1
32,100,65.6,1
33,100,20.3,1
34,100,15.2,1
35,100,-10.0,0
36,100,15.2,1
37,100,20.3,1
38,100,-4.9,0
39,100,40.4,1
40,100,15.2,1
41,100,65.6,1
42,100,15.2,1
43,100,65.6,1
44,100,20.3,1
45,100,-10.0,0
46,100,-4.9,0
47,100,15.2,1
48,100,-10.0,0
49,100,-10.0,0
50,100,-4.9,0
51,100,-4.9,0
52,100,-10.0,0
53,100,-10.0,0
54,100,40.4,1
55,100,-4.9,0
56,100,-10.0,0
57,100,90.8,1
58,100,15.2,1
59,100,15.2,1
60,100,20.3,1
61,100,40.4,1
62,100,15.2,1
63,100,15.2,1
64,100,20.3,1
65,100,40.4,1
66,100,-10.0,0
67,100,40.4,1
68,100,15.2,1
69,100,45.5,1
70,100,65.6,1
71,100,45.5,1
72,100,-10.0,0
73,100,-10.0,0
74,100,-10.0,0
75,100,20.3,1
76,100,-10.0,0
77,100,15.2,1
78,100,40.4,1
79,100,15.2,1
80,100,40.4,1
81,100,15.2,1
82,100,-4.9,0
83,100,40.4,1
84,100,-10.0,0
85,100,15.2,1
86,100,15.2,1
87,100,15.2,1
88,100,-4.9,0
89,100,40.4,1
90,100,90.8,1
91,100,40.4,1
92,100,40.4,1
93,100,40.4,1
94,100,70.7,1
95,100,40.4,1
96,100,-10.0,0
97,100,40.4,1
98,100,65.6,1
99,100,121.1,1
100,100,65.6,1
101,100,15.2,1
102,100,-10.0,0
103,100,40.4,1
104,100,-10.0,0
105,100,-10.0,0
106,100,-10.0,0
107,100,-10.0,0
108,100,90.8,1
109,100,15.2,1
110,100,40.4,1
111,100,-4.9,0
112,100,15.2,1
113,100,40.4,1
114,100,70.7,1
115,100,70.7,1
116,100,15.2,1
117,100,15.2,1
118,100,65.6,1
119,100,-10.0,0
120,100,15.2,1
121,100,-10.0,0
122,100,20.3,1
123,100,40.4,1
124,100,-10.0,0
125,100,65.6,1
126,100,70.7,1
127,100,166.4,1
128,100,15.2,1
129,100,70.7,1
130,100,15.2,1
131,100,65.6,1
132,100,90.8,1
133,100,40.4,1
134,100,40.4,1
135,100,40.4,1
136,100,90.8,1
137,100,40.4,1
138,100,40.4,1
139,100,-10.0,0
140,100,-10.0,0
141,100,15.2,1
142,100,90.8,1
143,100,20.3,1
144,100,-10.0,0
145,100,15.2,1
146,100,40.4,1
147,100,65.6,1
148,100,90.8,1
149,100,-10.0,0
150,100,20.3,1
151,100,40.4,1
152,100,40.4,1
153,100,116.0,1
154,100,70.7,1
155,100,116.0,1
156,100,15.2,1
157,100,40.4,1
158,100,15.2,1
159,100,20.3,1
160,100,65.6,1
161,100,65.6,1
162,100,65.6,1
163,100,40.4,1
164,100,15.2,1
165,100,90.8,1
166,100,-10.0,0
167,100,65.6,1
168,100,65.6,1
169,100,-10.0,0
170,100,45.5,1
171,100,65.6,1
172,100,15.2,1
173,100,65.6,1
174,100,15.2,1
175,100,40.4,1
176,100,65.6,1
177,100,-10.0,0
178,100,15.2,1
179,100,40.4,1
180,100,-10.0,0
181,100,15.2,1
182,100,-10.0,0
183,100,15.2,1
184,100,15.2,1
185,100,-10.0,0
186,100,90.8,1
187,100,-10.0,0
188,100,70.7,1
189,100,40.4,1
190,100,65.6,1
191,100,-10.0,0
192,100,15.2,1
193,100,40.4,1
194,100,70.7,1
195,100,15.2,1
196,100,-10.0,0
197,100,40.4,1
198,100,15.2,1
199,100,-10.0,0
200,100,45.5,1
